"id","user","arz","size","size2","atleast","price","status","created_at","updated_at"
"30109","2158","2","0.39","0","0.195","21000","1","2021-12-01 09:12:43","2021-12-01 09:12:43"
"30110","2744","5","232","1.333333333334","77.333333333333","1050","1","2021-12-07 09:12:43","2021-12-07 09:12:43"
"30111","2878","7","411","49","137","525","1","2022-03-05 09:03:43","2022-03-05 09:03:43"
"30112","2242","8","25","2","5","6650","1","2021-09-17 09:09:43","2021-09-17 09:09:43"
"30113","2427","2","0.51","0","0.255","21000","1","2022-01-04 09:01:43","2022-01-04 09:01:43"
"30114","2587","8","830","9","207.5","6650","1","2021-09-24 09:09:43","2021-09-24 09:09:43"
"30115","2644","1","0.75","0","0.25","5250000","1","2022-01-09 09:01:43","2022-01-09 09:01:43"
"30116","2484","6","645","234.5","322.5","105","1","2021-12-14 09:12:43","2021-12-14 09:12:43"
"30117","2967","3","87","14.5","43.5","420000","1","2021-10-25 09:10:43","2021-10-25 09:10:43"
"30118","2102","0","0.67","0","0.134","10500000","1","2022-01-31 09:01:43","2022-01-31 09:01:43"
"30119","2676","0","0.71","0","0.355","10500000","1","2021-10-06 09:10:43","2021-10-06 09:10:43"
"30120","2339","7","235","31.333333333337","78.333333333333","475","1","2021-11-04 09:11:43","2021-11-04 09:11:43"
"30121","2710","5","375","101","125","1050","1","2021-11-03 09:11:43","2021-11-03 09:11:43"
"30122","2739","7","731","81.33333333333","243.66666666667","475","1","2021-10-13 09:10:43","2021-10-13 09:10:43"
"30123","2233","6","629","61.66666666666","209.66666666667","95","1","2021-11-30 09:11:43","2021-11-30 09:11:43"
"30124","2527","0","0.76","0","0.38","10500000","1","2021-11-20 09:11:43","2021-11-20 09:11:43"
"30125","2771","0","0.34","0","0.17","10500000","1","2021-12-25 09:12:43","2021-12-25 09:12:43"
"30126","2775","4","392","213.33333333333","130.66666666667","114000","1","2021-12-26 09:12:43","2021-12-26 09:12:43"
"30127","2103","8","652","145.66666666667","217.33333333333","7350","1","2022-01-28 09:01:43","2022-01-28 09:01:43"
"30128","2223","4","156","37","39","126000","1","2022-01-29 09:01:43","2022-01-29 09:01:43"
"30129","2685","4","176","25","44","114000","1","2021-10-30 09:10:43","2021-10-30 09:10:43"
"30130","2142","3","387","10.2","77.4","380000","1","2021-10-22 09:10:43","2021-10-22 09:10:43"
"30131","3054","4","172","27.2","34.4","114000","1","2022-02-07 09:02:43","2022-02-07 09:02:43"
"30132","2878","2","0.9","0","0.225","21000","1","2021-10-21 09:10:43","2021-10-21 09:10:43"
"30133","2969","0","0.15","0","0.0375","10500000","1","2021-12-29 09:12:43","2021-12-29 09:12:43"
"30134","3038","1","0.12","0","0.024","5250000","1","2022-01-13 09:01:43","2022-01-13 09:01:43"
"30135","2502","7","386","84.66666666666","128.66666666667","525","1","2021-11-04 09:11:43","2021-11-04 09:11:43"
"30136","2083","9","648","20","216","21000","1","2021-10-04 09:10:43","2021-10-04 09:10:43"
"30137","2508","7","841","114.75","210.25","475","1","2021-09-13 09:09:43","2021-09-13 09:09:43"
"30138","2244","8","820","59","164","6650","1","2021-10-18 09:10:43","2021-10-18 09:10:43"
"30139","2564","8","731","132.5","182.75","6650","1","2022-02-22 09:02:43","2022-02-22 09:02:43"
"30140","2620","7","775","24","155","475","1","2021-12-09 09:12:43","2021-12-09 09:12:43"
"30141","2774","7","167","41.5","83.5","525","1","2021-12-12 09:12:43","2021-12-12 09:12:43"
"30142","2224","7","767","27.2","153.4","475","1","2021-10-29 09:10:43","2021-10-29 09:10:43"
"30143","2367","0","0.34","0","0.17","9500000","1","2021-09-14 09:09:43","2021-09-14 09:09:43"
"30144","2580","7","385","186.5","192.5","525","1","2021-10-03 09:10:43","2021-10-03 09:10:43"
"30145","2215","0","0.9","0","0.225","9500000","1","2021-12-16 09:12:43","2021-12-16 09:12:43"
"30146","2728","6","116","1.666666666666","38.666666666667","95","1","2021-12-31 09:12:43","2021-12-31 09:12:43"
"30147","2929","2","0.78","0","0.26","19000","1","2022-03-04 09:03:43","2022-03-04 09:03:43"
"30148","2755","6","557","4.2","111.4","105","1","2021-11-02 09:11:43","2021-11-02 09:11:43"
"30149","3032","5","331","34.33333333334","110.33333333333","950","1","2022-02-25 09:02:43","2022-02-25 09:02:43"
"30150","2173","5","143","9.5","71.5","950","1","2021-11-19 09:11:43","2021-11-19 09:11:43"
"30151","2874","7","281","17.666666666663","93.666666666667","475","1","2021-11-08 09:11:43","2021-11-08 09:11:43"
"30152","2924","0","0.88","0","0.176","10500000","1","2021-11-05 09:11:43","2021-11-05 09:11:43"
"30153","2705","5","961","469.5","480.5","950","1","2021-09-02 09:09:43","2021-09-02 09:09:43"
"30154","2764","1","0.54","0","0.18","5250000","1","2022-02-15 09:02:43","2022-02-15 09:02:43"
"30155","2151","0","0.72","0","0.36","9500000","1","2022-02-17 09:02:43","2022-02-17 09:02:43"
"30156","2887","5","41","10.5","20.5","1050","1","2021-10-07 09:10:43","2021-10-07 09:10:43"
"30157","2941","9","908","26","227","21000","1","2022-01-06 09:01:43","2022-01-06 09:01:43"
"30158","2337","0","0.91","0","0.455","10500000","1","2021-11-28 09:11:43","2021-11-28 09:11:43"
"30159","2758","6","854","84.33333333333","284.66666666667","105","1","2021-11-20 09:11:43","2021-11-20 09:11:43"
"30160","2536","9","951","4.6","190.2","21000","1","2021-10-14 09:10:43","2021-10-14 09:10:43"
"30161","2201","0","0.46","0.23","0.23","9500000","1","2021-10-01 09:10:43","2021-10-01 09:10:43"
"30162","2291","8","176","9.4","35.2","7350","1","2021-11-11 09:11:43","2021-11-11 09:11:43"
"30163","2757","4","446","30.5","111.5","126000","1","2022-03-09 09:03:43","2022-03-09 09:03:43"
"30164","2366","7","678","35","169.5","475","1","2021-09-21 09:09:43","2021-09-21 09:09:43"
"30165","2699","5","753","74.75","188.25","1050","1","2021-09-12 09:09:43","2021-09-12 09:09:43"
"30166","2812","8","511","181.5","255.5","6650","1","2021-11-11 09:11:43","2021-11-11 09:11:43"
"30167","2998","9","2","0.66666666666663","0.66666666666667","21000","1","2021-10-11 09:10:43","2021-10-11 09:10:43"
"30168","2133","0","0.56","0.18666666666666","0.18666666666667","10500000","1","2021-09-13 09:09:43","2021-09-13 09:09:43"
"30169","2913","0","0.99","0.594","0.198","10500000","1","2022-03-05 09:03:43","2022-03-05 09:03:43"
"30170","2685","6","94","1.6","18.8","105","1","2021-09-11 09:09:43","2021-09-11 09:09:43"
"30171","2140","0","0.89","0","0.2225","10500000","1","2021-10-08 09:10:43","2021-10-08 09:10:43"
"30172","2397","2","0.66","0","0.132","21000","1","2021-11-08 09:11:43","2021-11-08 09:11:43"
"30173","2180","1","0.61","0","0.1525","5250000","1","2021-11-29 09:11:43","2021-11-29 09:11:43"
"30174","2335","9","608","140","304","19000","1","2022-02-06 09:02:43","2022-02-06 09:02:43"
"30175","2154","5","281","25.8","56.2","1050","1","2021-09-10 09:09:43","2021-09-10 09:09:43"
"30176","2490","5","885","248.5","442.5","950","1","2022-03-03 09:03:43","2022-03-03 09:03:43"
"30177","2568","6","460","65","230","105","1","2021-11-03 09:11:43","2021-11-03 09:11:43"
"30178","2671","8","806","135","403","7350","1","2021-12-19 09:12:43","2021-12-19 09:12:43"
"30179","3035","2","0.62","0","0.155","21000","1","2021-09-08 09:09:43","2021-09-08 09:09:43"
"30180","2276","5","518","104","259","1050","1","2022-01-10 09:01:43","2022-01-10 09:01:43"
"30181","2795","4","70","5.666666666667","23.333333333333","126000","1","2021-12-03 09:12:43","2021-12-03 09:12:43"
"30182","2981","3","870","132","435","420000","1","2021-10-25 09:10:43","2021-10-25 09:10:43"
"30183","2097","0","0.23","0","0.0575","10500000","1","2022-02-09 09:02:43","2022-02-09 09:02:43"
"30184","2689","9","44","1.4","8.8","21000","1","2021-09-26 09:09:43","2021-09-26 09:09:43"
"30185","2543","6","448","72.8","89.6","105","1","2022-01-31 09:01:43","2022-01-31 09:01:43"
"30186","2150","9","255","3","85","21000","1","2021-09-22 09:09:43","2021-09-22 09:09:43"
"30187","2439","2","0.42","0","0.084","21000","1","2022-01-31 09:01:43","2022-01-31 09:01:43"
"30188","2753","9","904","178","452","19000","1","2022-01-02 09:01:43","2022-01-02 09:01:43"
"30189","2799","7","192","60","96","525","1","2022-01-27 09:01:43","2022-01-27 09:01:43"
"30190","2340","4","793","156.8","158.6","126000","1","2022-02-19 09:02:43","2022-02-19 09:02:43"
"30191","3018","9","555","72.25","138.75","21000","1","2021-11-26 09:11:43","2021-11-26 09:11:43"
"30192","2251","8","635","31.5","158.75","7350","1","2021-09-26 09:09:43","2021-09-26 09:09:43"
"30193","2343","8","490","32","122.5","7350","1","2022-01-16 09:01:43","2022-01-16 09:01:43"
"30194","2122","6","908","17","227","105","1","2022-02-24 09:02:43","2022-02-24 09:02:43"
"30195","2309","4","247","27.5","61.75","126000","1","2021-09-04 09:09:43","2021-09-04 09:09:43"
"30196","2521","5","378","10","189","1050","1","2022-01-11 09:01:43","2022-01-11 09:01:43"
"30197","2098","5","854","405","427","1050","1","2022-01-10 09:01:43","2022-01-10 09:01:43"
"30198","2689","6","962","12.2","192.4","105","1","2022-03-07 09:03:43","2022-03-07 09:03:43"
"30199","2495","6","19","1.6666666666667","6.3333333333333","105","1","2022-03-11 09:03:43","2022-03-11 09:03:43"
"30200","2589","1","1","0.5","0.5","5250000","1","2022-01-26 09:01:43","2022-01-26 09:01:43"
"30201","2948","4","544","17.33333333334","181.33333333333","126000","1","2021-11-27 09:11:43","2021-11-27 09:11:43"
"30202","2738","9","732","254","366","19000","1","2022-01-21 09:01:43","2022-01-21 09:01:43"
"30203","3037","9","833","50.33333333333","277.66666666667","21000","1","2021-09-15 09:09:43","2021-09-15 09:09:43"
"30204","2559","7","891","10.5","222.75","525","1","2021-10-03 09:10:43","2021-10-03 09:10:43"
"30205","2822","3","285","4.5","142.5","420000","1","2021-10-31 09:10:43","2021-10-31 09:10:43"
"30206","2426","0","0.71","0","0.355","10500000","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30207","2476","1","0.51","0.102","0.102","5250000","1","2021-11-22 09:11:43","2021-11-22 09:11:43"
"30208","2239","3","569","71.5","284.5","420000","1","2022-01-19 09:01:43","2022-01-19 09:01:43"
"30209","2090","4","704","111.4","140.8","126000","1","2021-09-12 09:09:43","2021-09-12 09:09:43"
"30210","2912","0","0.8","0.26666666666666","0.26666666666667","10500000","1","2021-09-04 09:09:43","2021-09-04 09:09:43"
"30211","2616","1","0.97","0","0.2425","5250000","1","2022-03-06 09:03:43","2022-03-06 09:03:43"
"30212","3017","9","376","2.33333333334","125.33333333333","21000","1","2021-12-21 09:12:43","2021-12-21 09:12:43"
"30213","2758","5","554","2.5","138.5","1050","1","2022-01-01 09:01:43","2022-01-01 09:01:43"
"30214","2234","0","0.66","0","0.165","9500000","1","2021-11-04 09:11:43","2021-11-04 09:11:43"
"30215","2499","8","489","57.5","122.25","6650","1","2022-03-07 09:03:43","2022-03-07 09:03:43"
"30216","2578","6","730","110","146","95","1","2022-02-23 09:02:43","2022-02-23 09:02:43"
"30217","2196","1","0.99","0","0.198","5250000","1","2021-12-22 09:12:43","2021-12-22 09:12:43"
"30218","2889","2","0.25","0","0.125","21000","1","2021-08-27 09:08:43","2021-08-27 09:08:43"
"30219","2512","5","39","4.25","9.75","1050","1","2021-09-10 09:09:43","2021-09-10 09:09:43"
"30220","2740","0","0.45","0","0.15","10500000","1","2022-02-07 09:02:43","2022-02-07 09:02:43"
"30221","2179","1","0.21","0","0.0525","4750000","1","2022-02-07 09:02:43","2022-02-07 09:02:43"
"30222","2885","1","0.69","0","0.23","5250000","1","2021-10-28 09:10:43","2021-10-28 09:10:43"
"30223","2489","4","236","13","118","126000","1","2021-09-23 09:09:43","2021-09-23 09:09:43"
"30224","2329","3","317","6.66666666666","105.66666666667","380000","1","2022-01-08 09:01:43","2022-01-08 09:01:43"
"30225","2085","7","676","59.66666666667","225.33333333333","525","1","2022-01-29 09:01:43","2022-01-29 09:01:43"
"30226","2668","2","0.67","0","0.335","21000","1","2021-11-13 09:11:43","2021-11-13 09:11:43"
"30227","3043","2","0.64","0","0.16","21000","1","2021-12-04 09:12:43","2021-12-04 09:12:43"
"30228","2608","2","0.91","0","0.182","21000","1","2022-01-24 09:01:43","2022-01-24 09:01:43"
"30229","2923","0","0.14","0","0.028","9500000","1","2021-12-13 09:12:43","2021-12-13 09:12:43"
"30230","2855","8","951","40.4","190.2","7350","1","2022-03-05 09:03:43","2022-03-05 09:03:43"
"30231","2178","0","0.97","0","0.2425","9500000","1","2021-11-09 09:11:43","2021-11-09 09:11:43"
"30232","2271","5","701","136.5","175.25","1050","1","2021-09-19 09:09:43","2021-09-19 09:09:43"
"30233","2735","8","265","28.333333333337","88.333333333333","6650","1","2021-11-20 09:11:43","2021-11-20 09:11:43"
"30234","2398","4","670","90.66666666667","223.33333333333","114000","1","2021-09-27 09:09:43","2021-09-27 09:09:43"
"30235","2544","0","0.26","0.086666666666663","0.086666666666667","10500000","1","2021-09-27 09:09:43","2021-09-27 09:09:43"
"30236","2730","4","632","130.33333333333","210.66666666667","126000","1","2021-09-13 09:09:43","2021-09-13 09:09:43"
"30237","2175","9","357","17.75","89.25","19000","1","2022-02-21 09:02:43","2022-02-21 09:02:43"
"30238","2663","7","730","189.66666666667","243.33333333333","525","1","2021-09-14 09:09:43","2021-09-14 09:09:43"
"30239","2300","5","560","17","112","950","1","2022-02-15 09:02:43","2022-02-15 09:02:43"
"30240","2538","5","764","23.6","152.8","1050","1","2021-09-25 09:09:43","2021-09-25 09:09:43"
"30241","3029","4","474","86.4","94.8","126000","1","2022-03-02 09:03:43","2022-03-02 09:03:43"
"30242","2868","7","555","87","111","475","1","2022-01-16 09:01:43","2022-01-16 09:01:43"
"30243","2143","3","643","154.66666666667","214.33333333333","380000","1","2021-12-08 09:12:43","2021-12-08 09:12:43"
"30244","2316","3","301","24.33333333334","100.33333333333","420000","1","2022-01-29 09:01:43","2022-01-29 09:01:43"
"30245","2144","0","0.45","0","0.225","9500000","1","2021-08-31 09:08:43","2021-08-31 09:08:43"
"30246","2599","7","731","55.66666666666","243.66666666667","525","1","2021-11-13 09:11:43","2021-11-13 09:11:43"
"30247","2145","8","113","9.333333333333","37.666666666667","7350","1","2022-01-15 09:01:43","2022-01-15 09:01:43"
"30248","2275","2","0.41","0","0.205","21000","1","2022-02-10 09:02:43","2022-02-10 09:02:43"
"30249","2681","7","147","23.2","29.4","475","1","2021-10-02 09:10:43","2021-10-02 09:10:43"
"30250","2287","6","234","3.5","58.5","95","1","2021-11-28 09:11:43","2021-11-28 09:11:43"
"30251","2988","7","70","2","17.5","475","1","2022-02-01 09:02:43","2022-02-01 09:02:43"
"30252","2637","3","940","50.66666666667","313.33333333333","380000","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30253","2579","0","0.19","0.19","0.063333333333333","10500000","1","2022-01-14 09:01:43","2022-01-14 09:01:43"
"30254","2398","7","886","357","443","525","1","2021-12-11 09:12:43","2021-12-11 09:12:43"
"30255","2928","2","0.47","0","0.235","19000","1","2022-01-14 09:01:43","2022-01-14 09:01:43"
"30256","2976","9","496","161.66666666667","165.33333333333","21000","1","2021-09-06 09:09:43","2021-09-06 09:09:43"
"30257","2215","3","681","63.6","136.2","380000","1","2021-09-07 09:09:43","2021-09-07 09:09:43"
"30258","3060","5","700","19","175","1050","1","2022-01-01 09:01:43","2022-01-01 09:01:43"
"30259","2685","3","857","141.66666666666","285.66666666667","420000","1","2022-03-02 09:03:43","2022-03-02 09:03:43"
"30260","2824","6","764","173","382","105","1","2021-09-10 09:09:43","2021-09-10 09:09:43"
"30261","3049","7","815","112.66666666666","271.66666666667","525","1","2021-09-05 09:09:43","2021-09-05 09:09:43"
"30262","2898","0","0.8","0","0.16","9500000","1","2021-12-05 09:12:43","2021-12-05 09:12:43"
"30263","2747","7","760","760","253.33333333333","525","1","2022-02-08 09:02:43","2022-02-08 09:02:43"
"30264","3050","9","779","137.5","389.5","21000","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30265","2656","4","553","71.66666666667","184.33333333333","126000","1","2021-09-08 09:09:43","2021-09-08 09:09:43"
"30266","2326","0","0.11","0","0.055","9500000","1","2022-02-22 09:02:43","2022-02-22 09:02:43"
"30267","2216","1","0.28","0","0.056","5250000","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30268","2897","8","3","0.75","0.75","7350","1","2021-09-25 09:09:43","2021-09-25 09:09:43"
"30269","2407","3","504","12","126","420000","1","2021-10-28 09:10:43","2021-10-28 09:10:43"
"30270","2495","5","850","62","425","1050","1","2022-02-26 09:02:43","2022-02-26 09:02:43"
"30271","2431","4","49","15.5","24.5","126000","1","2022-02-12 09:02:43","2022-02-12 09:02:43"
"30272","2068","5","361","22.5","180.5","1050","1","2022-01-23 09:01:43","2022-01-23 09:01:43"
"30273","2636","3","68","6","17","380000","1","2022-02-04 09:02:43","2022-02-04 09:02:43"
"30274","2151","1","0.74","0.185","0.185","4750000","1","2021-10-27 09:10:43","2021-10-27 09:10:43"
"30275","2723","6","150","36","75","95","1","2022-01-22 09:01:43","2022-01-22 09:01:43"
"30276","2788","3","900","9","180","380000","1","2022-01-29 09:01:43","2022-01-29 09:01:43"
"30277","2461","8","587","168.33333333333","195.66666666667","6650","1","2022-01-23 09:01:43","2022-01-23 09:01:43"
"30278","2564","1","1.01","0.202","0.202","4750000","1","2021-09-16 09:09:43","2021-09-16 09:09:43"
"30279","2165","8","131","1.666666666666","43.666666666667","7350","1","2021-10-06 09:10:43","2021-10-06 09:10:43"
"30280","2213","8","64","9.666666666667","21.333333333333","7350","1","2021-11-18 09:11:43","2021-11-18 09:11:43"
"30281","2402","4","786","100.8","157.2","126000","1","2021-10-25 09:10:43","2021-10-25 09:10:43"
"30282","2762","6","826","5.5","206.5","105","1","2021-10-04 09:10:43","2021-10-04 09:10:43"
"30283","2126","4","845","122.5","422.5","126000","1","2021-11-16 09:11:43","2021-11-16 09:11:43"
"30284","2391","7","985","75.5","492.5","525","1","2021-11-04 09:11:43","2021-11-04 09:11:43"
"30285","2695","3","622","121","311","420000","1","2021-12-09 09:12:43","2021-12-09 09:12:43"
"30286","2421","9","86","31","43","21000","1","2021-09-11 09:09:43","2021-09-11 09:09:43"
"30287","2716","6","887","7.3333333333301","295.66666666667","105","1","2021-12-01 09:12:43","2021-12-01 09:12:43"
"30288","2164","7","222","6.2","44.4","475","1","2021-10-02 09:10:43","2021-10-02 09:10:43"
"30289","2121","4","310","54","62","126000","1","2021-08-28 09:08:43","2021-08-28 09:08:43"
"30290","2743","3","389","74.2","77.8","420000","1","2021-12-11 09:12:43","2021-12-11 09:12:43"
"30291","2959","7","191","17.6","38.2","525","1","2021-09-07 09:09:43","2021-09-07 09:09:43"
"30292","3053","4","307","27.5","153.5","126000","1","2021-12-17 09:12:43","2021-12-17 09:12:43"
"30293","2504","5","845","89.33333333333","281.66666666667","1050","1","2021-11-04 09:11:43","2021-11-04 09:11:43"
"30294","2556","7","862","29","215.5","475","1","2021-10-18 09:10:43","2021-10-18 09:10:43"
"30295","2763","1","0.96","0","0.48","4750000","1","2022-03-03 09:03:43","2022-03-03 09:03:43"
"30296","2771","2","0.14","0","0.035","21000","1","2021-09-10 09:09:43","2021-09-10 09:09:43"
"30297","2715","0","0.92","0","0.46","10500000","1","2021-08-24 09:08:43","2021-08-24 09:08:43"
"30298","2889","6","327","5","109","105","1","2021-10-10 09:10:43","2021-10-10 09:10:43"
"30299","2278","2","0.39","0","0.195","21000","1","2021-09-02 09:09:43","2021-09-02 09:09:43"
"30300","2743","0","0.95","0","0.475","9500000","1","2021-09-11 09:09:43","2021-09-11 09:09:43"
"30301","2672","3","807","170.5","403.5","380000","1","2021-12-16 09:12:43","2021-12-16 09:12:43"
"30302","2162","4","883","607.25","220.75","114000","1","2022-02-23 09:02:43","2022-02-23 09:02:43"
"30303","2543","9","73","8.8","14.6","19000","1","2021-11-22 09:11:43","2021-11-22 09:11:43"
"30304","2727","5","140","18","28","1050","1","2021-09-18 09:09:43","2021-09-18 09:09:43"
"30305","2977","9","233","2.666666666666","77.666666666667","19000","1","2021-11-28 09:11:43","2021-11-28 09:11:43"
"30306","2984","2","0.94","0.0000000000000099920072216264","0.31333333333333","21000","1","2021-12-02 09:12:43","2021-12-02 09:12:43"
"30307","2196","4","378","59","189","126000","1","2021-11-03 09:11:43","2021-11-03 09:11:43"
"30308","3022","5","766","190.66666666667","255.33333333333","1050","1","2022-02-04 09:02:43","2022-02-04 09:02:43"
"30309","2485","8","176","7.6","35.2","7350","1","2022-01-31 09:01:43","2022-01-31 09:01:43"
"30310","2114","2","0.21","0","0.042","21000","1","2022-01-26 09:01:43","2022-01-26 09:01:43"
"30311","2511","6","882","77","220.5","105","1","2021-08-31 09:08:43","2021-08-31 09:08:43"
"30312","2777","7","202","70","101","525","1","2021-11-19 09:11:43","2021-11-19 09:11:43"
"30313","2759","1","0.53","0.17666666666666","0.17666666666667","5250000","1","2021-12-06 09:12:43","2021-12-06 09:12:43"
"30314","3003","1","0.27","0","0.0675","5250000","1","2022-03-04 09:03:43","2022-03-04 09:03:43"
