"id","uid","aid","rate","created_at","updated_at"
"30145","2070","55","1.9","2022-01-21 07:01:21","2022-01-21 07:01:21"
"30146","2070","54","1.5","2022-03-11 07:03:21","2022-03-11 07:03:21"
"30147","2070","138","4.8","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30148","2070","31","4.2","2022-03-12 07:03:21","2022-03-12 07:03:21"
"30149","2070","62","1","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30150","2070","68","1.7","2022-02-03 07:02:21","2022-02-03 07:02:21"
"30151","2070","138","1.1","2022-03-07 07:03:21","2022-03-07 07:03:21"
"30152","2070","52","1.3","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30153","2070","46","3","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30154","2070","201","2.9","2022-01-22 07:01:21","2022-01-22 07:01:21"
"30155","2070","40","4.6","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30156","2070","130","2.7","2022-01-31 07:01:21","2022-01-31 07:01:21"
"30157","2070","54","3.3","2022-02-16 07:02:21","2022-02-16 07:02:21"
"30158","2070","187","3.9","2022-02-26 07:02:21","2022-02-26 07:02:21"
"30159","2070","103","1.7","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30160","2070","203","4","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30161","2071","205","0.5","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30162","2071","202","0","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30163","2071","77","0.1","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30164","2071","97","4.5","2022-02-28 07:02:21","2022-02-28 07:02:21"
"30165","2071","84","0.9","2022-02-24 07:02:21","2022-02-24 07:02:21"
"30166","2071","104","4.9","2022-02-27 07:02:21","2022-02-27 07:02:21"
"30167","2071","188","3.2","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30168","2071","116","1.6","2022-02-20 07:02:21","2022-02-20 07:02:21"
"30169","2071","146","0.6","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30170","2071","205","0.8","2022-01-15 07:01:21","2022-01-15 07:01:21"
"30171","2071","84","0","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30172","2071","103","0.3","2022-01-30 07:01:21","2022-01-30 07:01:21"
"30173","2071","43","2.5","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30174","2072","204","1","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30175","2072","121","3.3","2022-01-27 07:01:21","2022-01-27 07:01:21"
"30176","2072","163","2.7","2022-02-21 07:02:21","2022-02-21 07:02:21"
"30177","2072","126","4.4","2022-02-23 07:02:21","2022-02-23 07:02:21"
"30178","2072","149","0.7","2022-01-24 07:01:21","2022-01-24 07:01:21"
"30179","2072","154","1.2","2022-02-07 07:02:21","2022-02-07 07:02:21"
"30180","2072","48","2.2","2022-03-02 07:03:21","2022-03-02 07:03:21"
"30181","2072","61","2.4","2022-01-28 07:01:21","2022-01-28 07:01:21"
"30182","2072","38","4.1","2022-03-12 07:03:21","2022-03-12 07:03:21"
"30183","2072","154","2.8","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30184","2072","11","4.6","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30185","2072","183","2","2022-01-28 07:01:21","2022-01-28 07:01:21"
"30186","2072","63","0.8","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30187","2072","162","2.1","2022-02-07 07:02:21","2022-02-07 07:02:21"
"30188","2072","118","3","2022-01-30 07:01:21","2022-01-30 07:01:21"
"30189","2072","178","1.6","2022-02-09 07:02:21","2022-02-09 07:02:21"
"30190","2072","153","2.9","2022-01-21 07:01:21","2022-01-21 07:01:21"
"30191","2072","37","3.6","2022-02-15 07:02:21","2022-02-15 07:02:21"
"30192","2072","121","2.3","2022-03-11 07:03:21","2022-03-11 07:03:21"
"30193","2073","172","4.5","2022-01-30 07:01:21","2022-01-30 07:01:21"
"30194","2073","27","3.1","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30195","2073","16","2.8","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30196","2074","176","1.1","2022-02-26 07:02:21","2022-02-26 07:02:21"
"30197","2074","133","4.2","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30198","2074","67","3.2","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30199","2074","165","0.3","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30200","2074","190","2.7","2022-02-24 07:02:21","2022-02-24 07:02:21"
"30201","2074","29","0.3","2022-02-15 07:02:21","2022-02-15 07:02:21"
"30202","2074","189","0","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30203","2074","58","1.7","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30204","2074","90","2.9","2022-02-28 07:02:21","2022-02-28 07:02:21"
"30205","2074","171","1.3","2022-02-21 07:02:21","2022-02-21 07:02:21"
"30206","2074","103","1.9","2022-02-09 07:02:21","2022-02-09 07:02:21"
"30207","2074","21","3.3","2022-01-23 07:01:21","2022-01-23 07:01:21"
"30208","2074","107","4.8","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30209","2075","48","1.8","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30210","2075","26","0.7","2022-02-15 07:02:21","2022-02-15 07:02:21"
"30211","2075","13","0.8","2022-01-21 07:01:21","2022-01-21 07:01:21"
"30212","2075","73","0.2","2022-02-27 07:02:21","2022-02-27 07:02:21"
"30213","2075","41","0.5","2022-03-12 07:03:21","2022-03-12 07:03:21"
"30214","2075","58","4.3","2022-01-23 07:01:21","2022-01-23 07:01:21"
"30215","2075","74","1.4","2022-01-13 07:01:21","2022-01-13 07:01:21"
"30216","2075","189","1.1","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30217","2075","194","3.8","2022-02-20 07:02:21","2022-02-20 07:02:21"
"30218","2075","110","0.9","2022-01-31 07:01:21","2022-01-31 07:01:21"
"30219","2075","96","3.7","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30220","2075","42","2.8","2022-02-09 07:02:21","2022-02-09 07:02:21"
"30221","2075","128","2.4","2022-01-22 07:01:21","2022-01-22 07:01:21"
"30222","2075","71","3.7","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30223","2075","29","2.1","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30224","2075","45","4.8","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30225","2076","15","1.6","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30226","2076","79","1.5","2022-01-31 07:01:21","2022-01-31 07:01:21"
"30227","2076","177","3.3","2022-01-12 07:01:21","2022-01-12 07:01:21"
"30228","2076","57","1.1","2022-02-24 07:02:21","2022-02-24 07:02:21"
"30229","2076","132","3.5","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30230","2077","199","1.6","2022-02-03 07:02:21","2022-02-03 07:02:21"
"30231","2077","85","4.8","2022-01-15 07:01:21","2022-01-15 07:01:21"
"30232","2077","28","3.6","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30233","2077","92","4","2022-02-06 07:02:21","2022-02-06 07:02:21"
"30234","2077","82","3.4","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30235","2077","145","2","2022-02-06 07:02:21","2022-02-06 07:02:21"
"30236","2077","40","1.3","2022-01-23 07:01:21","2022-01-23 07:01:21"
"30237","2077","130","2.8","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30238","2077","52","3.7","2022-02-27 07:02:21","2022-02-27 07:02:21"
"30239","2078","86","4.3","2022-02-01 07:02:21","2022-02-01 07:02:21"
"30240","2078","123","4.1","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30241","2078","190","3.3","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30242","2078","76","0.3","2022-01-22 07:01:21","2022-01-22 07:01:21"
"30243","2078","188","3","2022-02-18 07:02:21","2022-02-18 07:02:21"
"30244","2078","100","1.4","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30245","2078","107","2.3","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30246","2078","30","1.6","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30247","2078","135","1.4","2022-03-07 07:03:21","2022-03-07 07:03:21"
"30248","2078","37","3.8","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30249","2078","54","4.6","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30250","2078","157","4","2022-03-09 07:03:21","2022-03-09 07:03:21"
"30251","2078","168","0.9","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30252","2078","98","0.3","2022-02-20 07:02:21","2022-02-20 07:02:21"
"30253","2079","112","1","2022-02-03 07:02:21","2022-02-03 07:02:21"
"30254","2079","86","1.9","2022-03-02 07:03:21","2022-03-02 07:03:21"
"30255","2079","163","0.7","2022-02-12 07:02:21","2022-02-12 07:02:21"
"30256","2079","61","2.9","2022-02-28 07:02:21","2022-02-28 07:02:21"
"30257","2080","198","0.7","2022-02-27 07:02:21","2022-02-27 07:02:21"
"30258","2080","184","2.5","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30259","2080","201","1.3","2022-01-15 07:01:21","2022-01-15 07:01:21"
"30260","2081","116","3","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30261","2081","197","1.9","2022-02-23 07:02:21","2022-02-23 07:02:21"
"30262","2081","171","2.5","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30263","2081","171","3.6","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30264","2081","154","0.4","2022-02-17 07:02:21","2022-02-17 07:02:21"
"30265","2081","34","2.9","2022-02-15 07:02:21","2022-02-15 07:02:21"
"30266","2081","140","2.7","2022-01-12 07:01:21","2022-01-12 07:01:21"
"30267","2081","134","1.9","2022-02-16 07:02:21","2022-02-16 07:02:21"
"30268","2081","80","1.1","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30269","2081","205","4.5","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30270","2081","128","4.2","2022-02-17 07:02:21","2022-02-17 07:02:21"
"30271","2081","201","2.2","2022-03-08 07:03:21","2022-03-08 07:03:21"
"30272","2081","136","4.9","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30273","2081","158","4.5","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30274","2081","140","0","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30275","2081","105","0.8","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30276","2081","62","2.6","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30277","2081","141","4","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30278","2082","69","2.7","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30279","2082","49","4.2","2022-02-12 07:02:21","2022-02-12 07:02:21"
"30280","2082","150","3.8","2022-03-09 07:03:21","2022-03-09 07:03:21"
"30281","2082","41","0.9","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30282","2082","208","2.7","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30283","2082","38","1","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30284","2082","44","2.1","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30285","2082","181","2","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30286","2082","147","0.7","2022-02-22 07:02:21","2022-02-22 07:02:21"
"30287","2082","93","0.7","2022-02-28 07:02:21","2022-02-28 07:02:21"
"30288","2082","86","3","2022-02-22 07:02:21","2022-02-22 07:02:21"
"30289","2082","206","4.2","2022-03-12 07:03:21","2022-03-12 07:03:21"
"30290","2082","60","3.3","2022-03-09 07:03:21","2022-03-09 07:03:21"
"30291","2082","86","2","2022-02-25 07:02:21","2022-02-25 07:02:21"
"30292","2082","130","3","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30293","2082","68","3.9","2022-01-30 07:01:21","2022-01-30 07:01:21"
"30294","2082","198","3.6","2022-02-26 07:02:21","2022-02-26 07:02:21"
"30295","2082","28","4","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30296","2082","182","4.9","2022-02-09 07:02:21","2022-02-09 07:02:21"
"30297","2082","182","4.6","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30298","2083","121","1.3","2022-02-23 07:02:21","2022-02-23 07:02:21"
"30299","2083","62","2.4","2022-03-08 07:03:21","2022-03-08 07:03:21"
"30300","2083","75","1.4","2022-02-10 07:02:21","2022-02-10 07:02:21"
"30301","2083","67","2.6","2022-01-27 07:01:21","2022-01-27 07:01:21"
"30302","2083","71","1","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30303","2083","36","3.9","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30304","2083","19","2.5","2022-03-02 07:03:21","2022-03-02 07:03:21"
"30305","2083","209","0","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30306","2083","193","3","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30307","2083","178","4","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30308","2083","50","4.2","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30309","2083","163","2.9","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30310","2083","143","2.5","2022-02-24 07:02:21","2022-02-24 07:02:21"
"30311","2083","133","2.8","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30312","2083","64","3.8","2022-02-17 07:02:21","2022-02-17 07:02:21"
"30313","2083","56","2.2","2022-01-21 07:01:21","2022-01-21 07:01:21"
"30314","2083","206","4","2022-01-19 07:01:21","2022-01-19 07:01:21"
"30315","2083","179","1.9","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30316","2083","191","3.1","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30317","2084","114","4","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30318","2084","178","4.3","2022-02-10 07:02:21","2022-02-10 07:02:21"
"30319","2084","168","4.1","2022-02-01 07:02:21","2022-02-01 07:02:21"
"30320","2084","37","4","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30321","2084","137","1.8","2022-03-11 07:03:21","2022-03-11 07:03:21"
"30322","2084","91","4","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30323","2084","48","1.5","2022-02-18 07:02:21","2022-02-18 07:02:21"
"30324","2084","170","0.6","2022-02-15 07:02:21","2022-02-15 07:02:21"
"30325","2084","152","3","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30326","2084","13","3.4","2022-02-05 07:02:21","2022-02-05 07:02:21"
"30327","2084","40","2.3","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30328","2084","72","4.6","2022-02-15 07:02:21","2022-02-15 07:02:21"
"30329","2084","98","4.4","2022-01-28 07:01:21","2022-01-28 07:01:21"
"30330","2084","146","3.2","2022-02-22 07:02:21","2022-02-22 07:02:21"
"30331","2084","201","2.3","2022-01-31 07:01:21","2022-01-31 07:01:21"
"30332","2084","131","2.7","2022-01-24 07:01:21","2022-01-24 07:01:21"
"30333","2084","91","4.8","2022-01-23 07:01:21","2022-01-23 07:01:21"
"30334","2084","113","3.9","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30335","2084","19","2.8","2022-01-21 07:01:21","2022-01-21 07:01:21"
"30336","2085","95","3.1","2022-02-11 07:02:21","2022-02-11 07:02:21"
"30337","2085","83","4.6","2022-01-22 07:01:21","2022-01-22 07:01:21"
"30338","2086","28","2.5","2022-02-27 07:02:21","2022-02-27 07:02:21"
"30339","2086","162","3.7","2022-03-11 07:03:21","2022-03-11 07:03:21"
"30340","2086","111","4.9","2022-02-20 07:02:21","2022-02-20 07:02:21"
"30341","2086","136","1.4","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30342","2086","60","3.7","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30343","2086","145","2.3","2022-02-12 07:02:21","2022-02-12 07:02:21"
"30344","2086","153","0.2","2022-02-20 07:02:21","2022-02-20 07:02:21"
"30345","2086","14","2.5","2022-01-19 07:01:21","2022-01-19 07:01:21"
"30346","2086","206","5","2022-01-12 07:01:21","2022-01-12 07:01:21"
"30347","2086","172","3.6","2022-01-15 07:01:21","2022-01-15 07:01:21"
"30348","2086","22","1.6","2022-03-11 07:03:21","2022-03-11 07:03:21"
"30349","2086","138","0.3","2022-01-19 07:01:21","2022-01-19 07:01:21"
"30350","2086","200","0.3","2022-02-27 07:02:21","2022-02-27 07:02:21"
"30351","2086","141","3.8","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30352","2086","152","1","2022-02-17 07:02:21","2022-02-17 07:02:21"
"30353","2086","76","1.2","2022-02-24 07:02:21","2022-02-24 07:02:21"
"30354","2087","100","3.8","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30355","2087","35","0.4","2022-03-07 07:03:21","2022-03-07 07:03:21"
"30356","2087","138","2.3","2022-02-28 07:02:21","2022-02-28 07:02:21"
"30357","2089","181","4","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30358","2089","179","1.5","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30359","2089","183","3.1","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30360","2089","205","0.9","2022-02-08 07:02:21","2022-02-08 07:02:21"
"30361","2089","93","2","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30362","2089","127","3.9","2022-01-21 07:01:21","2022-01-21 07:01:21"
"30363","2089","146","2","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30364","2089","151","1.5","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30365","2089","204","4.4","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30366","2089","10","3","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30367","2089","133","2.2","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30368","2089","176","4","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30369","2089","111","0.7","2022-02-23 07:02:21","2022-02-23 07:02:21"
"30370","2089","39","2","2022-02-24 07:02:21","2022-02-24 07:02:21"
"30371","2089","173","2.6","2022-02-28 07:02:21","2022-02-28 07:02:21"
"30372","2089","64","1","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30373","2089","97","4.7","2022-01-28 07:01:21","2022-01-28 07:01:21"
"30374","2089","94","3","2022-02-13 07:02:21","2022-02-13 07:02:21"
"30375","2089","154","3.3","2022-02-10 07:02:21","2022-02-10 07:02:21"
"30376","2089","185","0.1","2022-01-19 07:01:21","2022-01-19 07:01:21"
"30377","2090","30","0.9","2022-03-09 07:03:21","2022-03-09 07:03:21"
"30378","2090","50","2.4","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30379","2090","74","3.8","2022-03-02 07:03:21","2022-03-02 07:03:21"
"30380","2090","140","2.9","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30381","2090","105","4.4","2022-02-20 07:02:21","2022-02-20 07:02:21"
"30382","2090","122","3.2","2022-02-12 07:02:21","2022-02-12 07:02:21"
"30383","2090","58","3","2022-01-26 07:01:21","2022-01-26 07:01:21"
"30384","2090","29","1.6","2022-01-12 07:01:21","2022-01-12 07:01:21"
"30385","2090","118","4.9","2022-02-17 07:02:21","2022-02-17 07:02:21"
"30386","2090","20","0.7","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30387","2090","186","1.5","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30388","2090","93","1","2022-02-16 07:02:21","2022-02-16 07:02:21"
"30389","2090","138","1.5","2022-01-31 07:01:21","2022-01-31 07:01:21"
"30390","2091","45","4.6","2022-02-22 07:02:21","2022-02-22 07:02:21"
"30391","2091","159","1.7","2022-02-16 07:02:21","2022-02-16 07:02:21"
"30392","2091","79","2","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30393","2091","131","4.6","2022-02-25 07:02:21","2022-02-25 07:02:21"
"30394","2091","205","4.7","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30395","2091","50","0.8","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30396","2091","131","3.8","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30397","2091","205","3.4","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30398","2091","144","5","2022-02-21 07:02:21","2022-02-21 07:02:21"
"30399","2091","160","1.1","2022-01-16 07:01:21","2022-01-16 07:01:21"
"30400","2091","119","2","2022-02-03 07:02:21","2022-02-03 07:02:21"
"30401","2092","161","0.5","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30402","2092","180","4.5","2022-02-04 07:02:21","2022-02-04 07:02:21"
"30403","2092","61","2","2022-02-16 07:02:21","2022-02-16 07:02:21"
"30404","2092","79","0.4","2022-01-27 07:01:21","2022-01-27 07:01:21"
"30405","2092","51","1","2022-01-20 07:01:21","2022-01-20 07:01:21"
"30406","2092","157","4.4","2022-01-22 07:01:21","2022-01-22 07:01:21"
"30407","2092","176","3.1","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30408","2092","114","0.1","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30409","2093","80","1.2","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30410","2093","164","3.3","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30411","2093","123","1.1","2022-03-02 07:03:21","2022-03-02 07:03:21"
"30412","2093","84","3","2022-01-23 07:01:21","2022-01-23 07:01:21"
"30413","2093","34","3","2022-02-14 07:02:21","2022-02-14 07:02:21"
"30414","2093","118","2.2","2022-01-13 07:01:21","2022-01-13 07:01:21"
"30415","2093","14","0.9","2022-01-24 07:01:21","2022-01-24 07:01:21"
"30416","2093","131","0.9","2022-01-25 07:01:21","2022-01-25 07:01:21"
"30417","2093","143","2.6","2022-01-15 07:01:21","2022-01-15 07:01:21"
"30418","2093","68","4.7","2022-03-08 07:03:21","2022-03-08 07:03:21"
"30419","2093","209","2.7","2022-02-10 07:02:21","2022-02-10 07:02:21"
"30420","2093","69","5","2022-02-02 07:02:21","2022-02-02 07:02:21"
"30421","2093","123","1.4","2022-02-19 07:02:21","2022-02-19 07:02:21"
"30422","2093","154","1","2022-02-18 07:02:21","2022-02-18 07:02:21"
"30423","2093","15","0.8","2022-02-01 07:02:21","2022-02-01 07:02:21"
"30424","2093","30","3.9","2022-02-03 07:02:21","2022-02-03 07:02:21"
"30425","2093","57","4.3","2022-02-07 07:02:21","2022-02-07 07:02:21"
"30426","2094","178","3.7","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30427","2094","17","2.6","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30428","2094","109","2.9","2022-03-06 07:03:21","2022-03-06 07:03:21"
"30429","2094","49","0.5","2022-02-18 07:02:21","2022-02-18 07:02:21"
"30430","2094","78","2.7","2022-03-01 07:03:21","2022-03-01 07:03:21"
"30431","2095","72","1.7","2022-01-15 07:01:21","2022-01-15 07:01:21"
"30432","2095","25","0.9","2022-01-18 07:01:21","2022-01-18 07:01:21"
"30433","2095","98","2.8","2022-02-07 07:02:21","2022-02-07 07:02:21"
"30434","2095","84","0","2022-01-17 07:01:21","2022-01-17 07:01:21"
"30435","2095","153","4","2022-01-29 07:01:21","2022-01-29 07:01:21"
"30436","2095","127","5","2022-02-01 07:02:21","2022-02-01 07:02:21"
"30437","2095","198","0.4","2022-01-27 07:01:21","2022-01-27 07:01:21"
"30438","2095","154","1.4","2022-02-06 07:02:21","2022-02-06 07:02:21"
"30439","2095","209","3.4","2022-03-04 07:03:21","2022-03-04 07:03:21"
"30440","2095","64","5","2022-01-24 07:01:21","2022-01-24 07:01:21"
"30441","2095","45","4.3","2022-03-03 07:03:21","2022-03-03 07:03:21"
"30442","2095","32","2","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30443","2095","93","3.6","2022-01-24 07:01:21","2022-01-24 07:01:21"
"30444","2095","160","2.6","2022-01-14 07:01:21","2022-01-14 07:01:21"
"30445","2095","182","0.5","2022-01-24 07:01:21","2022-01-24 07:01:21"
"30446","2095","187","2.3","2022-03-10 07:03:21","2022-03-10 07:03:21"
"30447","2095","45","0.4","2022-01-22 07:01:21","2022-01-22 07:01:21"
